bank_transaction_id,settlement_id,transaction_date,transaction_time,reference,credit_amount,bank_status
BANK8001,SET7001,2026-08-03,10:30:00,TXN9001,780.14,CREDITED
BANK8001D,SET7001,2026-08-03,10:31:00,TXN9001,780.14,CREDITED
BANK8002,SET7002,2026-08-04,10:30:00,TXN9002,1268.34,CREDITED
BANK8003,SET7003,2026-08-05,10:30:00,TXN9003,1876.02,CREDITED
BANK8004,SET7004,2026-08-06,10:30:00,TXN9004,4881.02,CREDITED
BANK8005,SET7005,2026-08-07,10:30:00,TXN9005,7810.22,CREDITED
BANK8006,SET7006,2026-08-08,10:30:00,TXN9006,12499.0,CREDITED
BANK8007,SET7007,2026-08-09,10:30:00,TXN9007,19999.0,CREDITED
BANK8009,SET7009,2026-08-11,10:30:00,TXN9009,499.0,CREDITED
BANK8010,SET7010,2026-08-12,10:30:00,TXN9010,799.0,CREDITED
BANK8011,SET7011,2026-08-13,10:30:00,TXN9011,1299.0,CREDITED
BANK8012,SET7012,2026-08-14,10:30:00,TXN9012,2499.0,CREDITED
BANK8013,SET7013,2026-08-15,10:30:00,TXN9013,4317.02,CREDITED
BANK8014,SET7014,2026-08-16,10:30:00,TXN9014,7999.0,CREDITED
BANK8015,SET7015,2026-08-17,10:30:00,TXN9015,11204.02,CREDITED
BANK8016,SET7016,2026-08-18,10:30:00,TXN9016,19999.0,CREDITED
BANK8019,SET7019,2026-08-21,10:30:00,TXN9019,799.0,CREDITED
BANK8020,SET7020,2026-08-02,10:30:00,TXN9020,1299.0,CREDITED
BANK8021,SET7021,2026-08-03,10:30:00,TXN9021,1815.27,CREDITED
BANK8022,SET7022,2026-08-04,10:30:00,TXN9022,3881.02,CREDITED
BANK8023,SET7023,2026-08-05,10:30:00,TXN9023,7999.0,CREDITED
BANK8024,SET7024,2026-08-06,10:30:00,TXN9024,12204.02,CREDITED
BANK8025,SET7025,2026-08-07,10:30:00,TXN9025,18963.02,CREDITED
BANK8026,SET7026,2026-08-08,10:30:00,TXN9026,29999.0,CREDITED
BANK8027,SET7027,2026-08-09,10:30:00,TXN9027,487.22,CREDITED
BANK8028,SET7028,2026-08-10,10:30:00,UNKNOWN9028,799.0,CREDITED
BANK8029,SET7029,2026-08-11,10:30:00,TXN9029,1299.0,CREDITED
BANK8030,SET7030,2026-08-12,10:30:00,TXN9030,1876.02,CREDITED
BANK8031,SET7031,2026-08-13,10:30:00,TXN9031,4999.0,CREDITED
BANK8032,SET7032,2026-08-14,10:30:00,TXN9032,7810.22,CREDITED
BANK8033,SET7033,2026-08-15,10:30:00,TXN9033,12204.02,CREDITED
BANK8033D,SET7033,2026-08-15,10:31:00,TXN9033,12204.02,CREDITED
BANK8034,SET7034,2026-08-16,10:30:00,TXN9034,19999.0,CREDITED
BANK8035,SET7035,2026-08-17,10:30:00,UNKNOWN9035,29999.0,CREDITED
BANK8036,SET7036,2026-08-18,10:30:00,TXN9036,499.0,CREDITED
BANK8037,SET7037,2026-08-19,10:30:00,TXN9037,216.14,CREDITED
BANK8038,SET7038,2026-08-20,10:30:00,TXN9038,704.34,CREDITED
BANK8039,SET7039,2026-08-21,10:30:00,TXN9039,2499.0,CREDITED
BANK8040,SET7040,2026-08-02,10:30:00,TXN9040,4999.0,CREDITED
BANK8041,SET7041,2026-08-03,10:30:00,TXN9041,7810.22,CREDITED
BANK8042,SET7042,2026-08-04,10:30:00,TXN9042,12499.0,CREDITED
BANK8043,SET7043,2026-08-05,10:30:00,TXN9043,19999.0,CREDITED
BANK8044,SET7044,2026-08-06,10:30:00,UNKNOWN9044,29999.0,CREDITED
BANK8045,SET7045,2026-08-07,10:30:00,TXN9045,499.0,CREDITED
BANK8046,SET7046,2026-08-08,10:30:00,TXN9046,799.0,CREDITED
BANK8048,SET7048,2026-08-10,10:30:00,TXN9048,2499.0,CREDITED
BANK8049,SET7049,2026-08-11,10:30:00,TXN9049,3631.27,CREDITED
BANK8050,SET7050,2026-08-12,10:30:00,TXN9050,7999.0,CREDITED
BANK8051,SET7051,2026-08-13,10:30:00,TXN9051,12499.0,CREDITED
BANK8052,SET7052,2026-08-14,10:30:00,TXN9052,19999.0,CREDITED
BANK8053,SET7053,2026-08-15,10:30:00,TXN9053,29999.0,CREDITED
BANK8054,SET7054,2026-08-16,10:30:00,TXN9054,499.0,CREDITED
BANK8055,SET7055,2026-08-17,10:30:00,TXN9055,799.0,CREDITED
BANK8057,SET7057,2026-08-19,10:30:00,TXN9057,2499.0,CREDITED
BANK8058,SET7058,2026-08-20,10:30:00,TXN9058,3631.27,CREDITED
BANK8059,SET7059,2026-08-21,10:30:00,TXN9059,7999.0,CREDITED
BANK8060,SET7060,2026-08-02,10:30:00,TXN9060,11204.02,CREDITED
BANK8061,SET7061,2026-08-03,10:30:00,TXN9061,14527.27,CREDITED
BANK8062,SET7062,2026-08-10,10:30:00,TXN9062,29999.0,CREDITED
BANK8063,SET7063,2026-08-05,10:30:00,TXN9063,487.22,CREDITED
BANK8064,SET7064,2026-08-06,10:30:00,TXN9064,780.14,CREDITED
BANK8065,SET7065,2026-08-07,10:30:00,TXN9065,1268.34,CREDITED
