order_id,customer_id,order_date,order_amount,currency,payment_id,order_status
ORD1001,CUST5001,2026-08-02,799.0,INR,PAY3001,COMPLETED
ORD1002,CUST5002,2026-08-03,1299.0,INR,PAY3002,COMPLETED
ORD1003,CUST5003,2026-08-04,2499.0,INR,PAY3003,COMPLETED
ORD1004,CUST5004,2026-08-05,4999.0,INR,PAY3004,COMPLETED
ORD1005,CUST5005,2026-08-06,7999.0,INR,PAY3005,COMPLETED
ORD1006,CUST5006,2026-08-07,12499.0,INR,PAY3006,COMPLETED
ORD1007,CUST5007,2026-08-08,19999.0,INR,PAY3007,COMPLETED
ORD1008,CUST5008,2026-08-09,29999.0,INR,PAY3008,COMPLETED
ORD1009,CUST5009,2026-08-10,499.0,INR,PAY3009,COMPLETED
ORD1010,CUST5010,2026-08-11,799.0,INR,PAY3010,COMPLETED
ORD1011,CUST5011,2026-08-12,1299.0,INR,PAY3011,COMPLETED
ORD1012,CUST5012,2026-08-13,2499.0,INR,PAY3012,COMPLETED
ORD1013,CUST5013,2026-08-14,4999.0,INR,PAY3013,COMPLETED
ORD1014,CUST5014,2026-08-15,7999.0,INR,PAY3014,COMPLETED
ORD1015,CUST5015,2026-08-16,12499.0,INR,PAY3015,COMPLETED
ORD1016,CUST5016,2026-08-17,19999.0,INR,PAY3016,COMPLETED
ORD1017,CUST5017,2026-08-18,29999.0,INR,PAY3017,COMPLETED
ORD1018,CUST5018,2026-08-19,499.0,INR,PAY3018,COMPLETED
ORD1019,CUST5019,2026-08-20,799.0,INR,PAY3019,COMPLETED
ORD1020,CUST5020,2026-08-01,1299.0,INR,PAY3020,COMPLETED
ORD1021,CUST5021,2026-08-02,2499.0,INR,PAY3021,COMPLETED
ORD1022,CUST5022,2026-08-03,4999.0,INR,PAY3022,COMPLETED
ORD1023,CUST5023,2026-08-04,7999.0,INR,PAY3023,COMPLETED
ORD1024,CUST5024,2026-08-05,12499.0,INR,PAY3024,COMPLETED
ORD1025,CUST5025,2026-08-06,19999.0,INR,PAY3025,COMPLETED
ORD1026,CUST5026,2026-08-07,29999.0,INR,PAY3026,COMPLETED
ORD1027,CUST5027,2026-08-08,499.0,INR,PAY3027,COMPLETED
ORD1028,CUST5028,2026-08-09,799.0,INR,PAY3028,COMPLETED
ORD1029,CUST5029,2026-08-10,1299.0,INR,PAY3029,COMPLETED
ORD1030,CUST5000,2026-08-11,2499.0,INR,PAY3030,COMPLETED
ORD1031,CUST5001,2026-08-12,4999.0,INR,PAY3031,COMPLETED
ORD1032,CUST5002,2026-08-13,7999.0,INR,PAY3032,COMPLETED
