payment_id,order_id,transaction_id,payment_date,payment_time,amount,payment_status,payment_method
PAY3001,ORD1001,TXN9001,2026-08-02,10:15:00,799.0,CAPTURED,CARD
PAY3002,ORD1002,TXN9002,2026-08-03,10:15:00,1299.0,CAPTURED,UPI
PAY3003,ORD1003,TXN9003,2026-08-04,10:15:00,2499.0,CAPTURED,CARD
PAY3004,ORD1004,TXN9004,2026-08-05,10:15:00,4999.0,CAPTURED,UPI
PAY3005,ORD1005,TXN9005,2026-08-06,10:15:00,7999.0,CAPTURED,CARD
PAY3006,ORD1006,TXN9006,2026-08-07,10:15:00,12499.0,CAPTURED,UPI
PAY3007,ORD1007,TXN9007,2026-08-08,10:15:00,19999.0,CAPTURED,CARD
PAY3008,ORD1008,TXN9008,2026-08-09,10:15:00,29999.0,CAPTURED,UPI
PAY3009,ORD1009,TXN9009,2026-08-10,10:15:00,499.0,CAPTURED,CARD
PAY3010,ORD1010,TXN9010,2026-08-11,10:15:00,799.0,CAPTURED,UPI
PAY3011,ORD1011,TXN9011,2026-08-12,10:15:00,1299.0,CAPTURED,CARD
PAY3012,ORD1012,TXN9012,2026-08-13,10:15:00,2499.0,CAPTURED,UPI
PAY3013,ORD1013,TXN9013,2026-08-14,10:15:00,4999.0,CAPTURED,CARD
PAY3014,ORD1014,TXN9014,2026-08-15,10:15:00,7999.0,CAPTURED,UPI
PAY3015,ORD1015,TXN9015,2026-08-16,10:15:00,12499.0,CAPTURED,CARD
PAY3016,ORD1016,TXN9016,2026-08-17,10:15:00,19999.0,CAPTURED,UPI
PAY3017,ORD1017,TXN9017,2026-08-18,10:15:00,29999.0,CAPTURED,CARD
PAY3018,ORD1018,TXN9018,2026-08-19,10:15:00,499.0,CAPTURED,UPI
PAY3019,ORD1019,TXN9019,2026-08-20,10:15:00,799.0,CAPTURED,CARD
PAY3020,ORD1020,TXN9020,2026-08-01,10:15:00,1299.0,CAPTURED,UPI
PAY3021,ORD1021,TXN9021,2026-08-02,10:15:00,2499.0,CAPTURED,CARD
PAY3022,ORD1022,TXN9022,2026-08-03,10:15:00,4999.0,CAPTURED,UPI
PAY3023,ORD1023,TXN9023,2026-08-04,10:15:00,7999.0,CAPTURED,CARD
PAY3024,ORD1024,TXN9024,2026-08-05,10:15:00,12499.0,CAPTURED,UPI
PAY3025,ORD1025,TXN9025,2026-08-06,10:15:00,19999.0,CAPTURED,CARD
PAY3026,ORD1026,TXN9026,2026-08-07,10:15:00,29999.0,CAPTURED,UPI
PAY3027,ORD1027,TXN9027,2026-08-08,10:15:00,499.0,CAPTURED,CARD
PAY3028,ORD1028,TXN9028,2026-08-09,10:15:00,799.0,CAPTURED,UPI
PAY3029,ORD1029,TXN9029,2026-08-10,10:15:00,1299.0,CAPTURED,CARD
PAY3030,ORD1030,TXN9030,2026-08-11,10:15:00,2499.0,CAPTURED,UPI
PAY3031,ORD1031,TXN9031,2026-08-12,10:15:00,4999.0,CAPTURED,CARD
PAY3032,ORD1032,TXN9032,2026-08-13,10:15:00,7999.0,CAPTURED,UPI
PAY3033,ORD1033,TXN9033,2026-08-14,10:15:00,12499.0,CAPTURED,CARD
PAY3034,ORD1034,TXN9034,2026-08-15,10:15:00,19999.0,CAPTURED,UPI
PAY3035,ORD1035,TXN9035,2026-08-16,10:15:00,29999.0,CAPTURED,CARD
PAY3036,ORD1036,TXN9036,2026-08-17,10:15:00,499.0,CAPTURED,UPI
PAY3037,ORD1037,TXN9037,2026-08-18,10:15:00,799.0,CAPTURED,CARD
PAY3038,ORD1038,TXN9038,2026-08-19,10:15:00,1299.0,CAPTURED,UPI
PAY3039,ORD1039,TXN9039,2026-08-20,10:15:00,2499.0,CAPTURED,CARD
PAY3040,ORD1040,TXN9040,2026-08-01,10:15:00,4999.0,CAPTURED,UPI
PAY3041,ORD1041,TXN9041,2026-08-02,10:15:00,7999.0,CAPTURED,CARD
PAY3042,ORD1042,TXN9042,2026-08-03,10:15:00,12499.0,CAPTURED,UPI
PAY3043,ORD1043,TXN9043,2026-08-04,10:15:00,19999.0,CAPTURED,CARD
PAY3044,ORD1044,TXN9044,2026-08-05,10:15:00,29999.0,CAPTURED,UPI
PAY3045,ORD1045,TXN9045,2026-08-06,10:15:00,499.0,CAPTURED,CARD
PAY3046,ORD1046,TXN9046,2026-08-07,10:15:00,799.0,CAPTURED,UPI
PAY3047,ORD1047,TXN9047,2026-08-08,10:15:00,1299.0,CAPTURED,CARD
PAY3048,ORD1048,TXN9048,2026-08-09,10:15:00,2499.0,CAPTURED,UPI
PAY3049,ORD1049,TXN9049,2026-08-10,10:15:00,4999.0,CAPTURED,CARD
PAY3050,ORD1050,TXN9050,2026-08-11,10:15:00,7999.0,CAPTURED,UPI
PAY3051,ORD1051,TXN9051,2026-08-12,10:15:00,12499.0,CAPTURED,CARD
PAY3052,ORD1052,TXN9052,2026-08-13,10:15:00,19999.0,CAPTURED,UPI
PAY3053,ORD1053,TXN9053,2026-08-14,10:15:00,29999.0,CAPTURED,CARD
PAY3054,ORD1054,TXN9054,2026-08-15,10:15:00,499.0,CAPTURED,UPI
PAY3055,ORD1055,TXN9055,2026-08-16,10:15:00,799.0,CAPTURED,CARD
PAY3056,ORD1056,TXN9056,2026-08-17,10:15:00,1299.0,CAPTURED,UPI
PAY3057,ORD1057,TXN9057,2026-08-18,10:15:00,2499.0,CAPTURED,CARD
PAY3058,ORD1058,TXN9058,2026-08-19,10:15:00,4999.0,CAPTURED,UPI
PAY3059,ORD1059,TXN9059,2026-08-20,10:15:00,7999.0,CAPTURED,CARD
PAY3060,ORD1060,TXN9060,2026-08-01,10:15:00,12499.0,CAPTURED,UPI
PAY3061,ORD1061,TXN9061,2026-08-02,10:15:00,19999.0,CAPTURED,CARD
PAY3062,ORD1062,TXN9062,2026-08-03,10:15:00,29999.0,CAPTURED,UPI
PAY3063,ORD1063,TXN9063,2026-08-04,10:15:00,499.0,CAPTURED,CARD
PAY3064,ORD1064,TXN9064,2026-08-05,10:15:00,799.0,CAPTURED,UPI
PAY3065,ORD1065,TXN9065,2026-08-06,10:15:00,1299.0,CAPTURED,CARD
PAY3066,ORD1066,TXN9066,2026-08-07,10:15:00,2499.0,CAPTURED,UPI
PAY3067,ORD1067,TXN9067,2026-08-08,10:15:00,4999.0,CAPTURED,CARD
PAY3068,ORD1068,TXN9068,2026-08-09,10:15:00,7999.0,CAPTURED,UPI
PAY3069,ORD1069,TXN9069,2026-08-10,10:15:00,12499.0,CAPTURED,CARD
PAY3070,ORD1070,TXN9070,2026-08-11,10:15:00,19999.0,CAPTURED,UPI
PAY3071,ORD1071,TXN9071,2026-08-12,10:15:00,29999.0,CAPTURED,CARD
PAY3072,ORD1072,TXN9072,2026-08-13,10:15:00,499.0,CAPTURED,UPI
PAY3073,ORD1073,TXN9073,2026-08-14,10:15:00,799.0,CAPTURED,CARD
PAY3074,ORD1074,TXN9074,2026-08-15,10:15:00,1299.0,CAPTURED,UPI
PAY3075,ORD1075,TXN9075,2026-08-16,10:15:00,2499.0,CAPTURED,CARD
PAY3076,ORD1076,TXN9076,2026-08-17,10:15:00,4999.0,CAPTURED,UPI
PAY3077,ORD1077,TXN9077,2026-08-18,10:15:00,7999.0,CAPTURED,CARD
PAY3078,ORD1078,TXN9078,2026-08-19,10:15:00,12499.0,CAPTURED,UPI
PAY3079,ORD1079,TXN9079,2026-08-20,10:15:00,19999.0,CAPTURED,CARD
PAY3080,ORD1080,TXN9080,2026-08-01,10:15:00,29999.0,CAPTURED,UPI
PAY3081,ORD1081,TXN9081,2026-08-02,10:15:00,499.0,CAPTURED,CARD
PAY3082,ORD1082,TXN9082,2026-08-03,10:15:00,799.0,CAPTURED,UPI
PAY3083,ORD1083,TXN9083,2026-08-04,10:15:00,1299.0,CAPTURED,CARD
PAY3084,ORD1084,TXN9084,2026-08-05,10:15:00,2499.0,CAPTURED,UPI
PAY3085,ORD1085,TXN9085,2026-08-06,10:15:00,4999.0,CAPTURED,CARD
PAY3086,ORD1086,TXN9086,2026-08-07,10:15:00,7999.0,CAPTURED,UPI
PAY3087,ORD1087,TXN9087,2026-08-08,10:15:00,12499.0,CAPTURED,CARD
PAY3088,ORD1088,TXN9088,2026-08-09,10:15:00,19999.0,CAPTURED,UPI
PAY3089,ORD1089,TXN9089,2026-08-10,10:15:00,29999.0,CAPTURED,CARD
PAY3090,ORD1090,TXN9090,2026-08-11,10:15:00,499.0,CAPTURED,UPI
