refund_id,transaction_id,refund_date,refund_amount,refund_status,refund_reason
REF6021,TXN9021,2026-08-04,624.75,PROCESSED,Customer return
REF6049,TXN9049,2026-08-12,1249.75,PROCESSED,Customer return
REF6058,TXN9058,2026-08-21,1249.75,PROCESSED,Customer return
REF6061,TXN9061,2026-08-04,4999.75,PROCESSED,Customer return
REF6069,TXN9069,2026-08-12,3124.75,PROCESSED,Customer return
REF6073,TXN9073,2026-08-16,199.75,PROCESSED,Customer return
REF6076,TXN9076,2026-08-19,1249.75,PROCESSED,Customer return
REF6080,TXN9080,2026-08-03,7499.75,PROCESSED,Customer return
REF6081,TXN9081,2026-08-04,124.75,PROCESSED,Customer return
REF6096,TXN9096,2026-08-19,3124.75,PROCESSED,Customer return
