refund_id,transaction_id,refund_date,refund_amount,refund_status,refund_reason
REF6021,TXN9021,2026-08-04,624.75,PROCESSED,Customer return
REF6049,TXN9049,2026-08-12,1249.75,PROCESSED,Customer return
REF6058,TXN9058,2026-08-21,1249.75,PROCESSED,Customer return
REF6061,TXN9061,2026-08-04,4999.75,PROCESSED,Customer return
REF6069,TXN9069,2026-08-12,3124.75,PROCESSED,Customer return
REF6073,TXN9073,2026-08-16,199.75,PROCESSED,Customer return
REF6076,TXN9076,2026-08-19,1249.75,PROCESSED,Customer return
REF6080,TXN9080,2026-08-03,7499.75,PROCESSED,Customer return
REF6081,TXN9081,2026-08-04,124.75,PROCESSED,Customer return
REF6096,TXN9096,2026-08-19,3124.75,PROCESSED,Customer return
REF6105,TXN9105,2026-08-08,3124.75,PROCESSED,Customer return
REF6118,TXN9118,2026-08-21,199.75,PROCESSED,Customer return
REF6127,TXN9127,2026-08-10,199.75,PROCESSED,Customer return
REF6132,TXN9132,2026-08-15,3124.75,PROCESSED,Customer return
REF6136,TXN9136,2026-08-19,199.75,PROCESSED,Customer return
REF6140,TXN9140,2026-08-03,1999.75,PROCESSED,Customer return
REF6143,TXN9143,2026-08-06,7499.75,PROCESSED,Customer return
REF6146,TXN9146,2026-08-09,324.75,PROCESSED,Customer return
REF6147,TXN9147,2026-08-10,624.75,PROCESSED,Customer return
REF6149,TXN9149,2026-08-12,1999.75,PROCESSED,Customer return
REF6169,TXN9169,2026-08-12,4999.75,PROCESSED,Customer return
REF6172,TXN9172,2026-08-15,199.75,PROCESSED,Customer return
REF6173,TXN9173,2026-08-16,324.75,PROCESSED,Customer return
REF6174,TXN9174,2026-08-17,624.75,PROCESSED,Customer return
REF6193,TXN9193,2026-08-16,1249.75,PROCESSED,Customer return
REF6198,TXN9198,2026-08-21,124.75,PROCESSED,Customer return
REF6212,TXN9212,2026-08-15,1999.75,PROCESSED,Customer return
REF6218,TXN9218,2026-08-21,324.75,PROCESSED,Customer return
REF6235,TXN9235,2026-08-18,199.75,PROCESSED,Customer return
REF6243,TXN9243,2026-08-06,124.75,PROCESSED,Customer return
REF6257,TXN9257,2026-08-20,1999.75,PROCESSED,Customer return
REF6264,TXN9264,2026-08-07,624.75,PROCESSED,Customer return
REF6265,TXN9265,2026-08-08,1249.75,PROCESSED,Customer return
REF6269,TXN9269,2026-08-12,7499.75,PROCESSED,Customer return
REF6282,TXN9282,2026-08-05,624.75,PROCESSED,Customer return
REF6286,TXN9286,2026-08-09,4999.75,PROCESSED,Customer return
REF6299,TXN9299,2026-08-22,324.75,PROCESSED,Customer return
REF6301,TXN9301,2026-08-04,1249.75,PROCESSED,Customer return
REF6303,TXN9303,2026-08-06,3124.75,PROCESSED,Customer return
REF6304,TXN9304,2026-08-07,4999.75,PROCESSED,Customer return
REF6311,TXN9311,2026-08-14,1999.75,PROCESSED,Customer return
REF6324,TXN9324,2026-08-07,124.75,PROCESSED,Customer return
REF6325,TXN9325,2026-08-08,199.75,PROCESSED,Customer return
REF6331,TXN9331,2026-08-14,4999.75,PROCESSED,Customer return
REF6340,TXN9340,2026-08-03,4999.75,PROCESSED,Customer return
REF6353,TXN9353,2026-08-16,324.75,PROCESSED,Customer return
REF6369,TXN9369,2026-08-12,124.75,PROCESSED,Customer return
REF6382,TXN9382,2026-08-05,1249.75,PROCESSED,Customer return
REF6389,TXN9389,2026-08-12,324.75,PROCESSED,Customer return
REF6396,TXN9396,2026-08-19,124.75,PROCESSED,Customer return
REF6398,TXN9398,2026-08-21,324.75,PROCESSED,Customer return
REF6399,TXN9399,2026-08-22,624.75,PROCESSED,Customer return
REF6412,TXN9412,2026-08-15,4999.75,PROCESSED,Customer return
REF6441,TXN9441,2026-08-04,124.75,PROCESSED,Customer return
REF6443,TXN9443,2026-08-06,324.75,PROCESSED,Customer return
REF6451,TXN9451,2026-08-14,199.75,PROCESSED,Customer return
REF6454,TXN9454,2026-08-17,1249.75,PROCESSED,Customer return
REF6488,TXN9488,2026-08-11,324.75,PROCESSED,Customer return
REF6498,TXN9498,2026-08-21,624.75,PROCESSED,Customer return
