settlement_id,transaction_id,settlement_date,gross_amount,fee,tax,net_amount,settlement_status
SET7001,TXN9001,2026-08-03,799.0,15.98,2.88,780.14,SETTLED
SET7002,TXN9002,2026-08-04,1299.0,25.98,4.68,1268.34,SETTLED
SET7003,TXN9003,2026-08-05,2499.0,49.98,9.0,2440.02,SETTLED
SET7004,TXN9004,2026-08-06,4999.0,99.98,18.0,4881.02,SETTLED
SET7005,TXN9005,2026-08-07,7999.0,159.98,28.8,7810.22,SETTLED
SET7006,TXN9006,2026-08-08,12499.0,0.0,0.0,12499.0,SETTLED
SET7007,TXN9007,2026-08-09,19999.0,0.0,0.0,19999.0,SETTLED
SET7009,TXN9009,2026-08-11,499.0,0.0,0.0,499.0,SETTLED
SET7010,TXN9010,2026-08-12,799.0,0.0,0.0,799.0,SETTLED
SET7011,TXN9011,2026-08-13,1299.0,0.0,0.0,1299.0,SETTLED
SET7012,TXN9012,2026-08-14,2499.0,0.0,0.0,2499.0,SETTLED
SET7013,TXN9013,2026-08-15,4999.0,99.98,18.0,4881.02,SETTLED
SET7014,TXN9014,2026-08-16,7999.0,0.0,0.0,7999.0,SETTLED
SET7015,TXN9015,2026-08-17,12499.0,249.98,45.0,11204.02,SETTLED
SET7016,TXN9016,2026-08-18,19999.0,0.0,0.0,19999.0,SETTLED
SET7019,TXN9019,2026-08-21,799.0,0.0,0.0,799.0,SETTLED
SET7020,TXN9020,2026-08-02,1299.0,0.0,0.0,1299.0,SETTLED
SET7021,TXN9021,2026-08-03,2499.0,49.98,9.0,2440.02,SETTLED
SET7022,TXN9022,2026-08-04,4999.0,99.98,18.0,3881.02,SETTLED
SET7023,TXN9023,2026-08-05,7999.0,0.0,0.0,7999.0,SETTLED
SET7024,TXN9024,2026-08-06,12499.0,249.98,45.0,12204.02,SETTLED
SET7025,TXN9025,2026-08-07,19999.0,399.98,72.0,19527.02,SETTLED
SET7026,TXN9026,2026-08-08,29999.0,0.0,0.0,29999.0,SETTLED
SET7027,TXN9027,2026-08-09,499.0,9.98,1.8,487.22,SETTLED
SET7028,TXN9028,2026-08-10,799.0,0.0,0.0,799.0,SETTLED
SET7029,TXN9029,2026-08-11,1299.0,0.0,0.0,1299.0,SETTLED
SET7030,TXN9030,2026-08-12,2499.0,49.98,9.0,2440.02,SETTLED
SET7031,TXN9031,2026-08-13,4999.0,0.0,0.0,4999.0,SETTLED
SET7032,TXN9032,2026-08-14,7999.0,159.98,28.8,7810.22,SETTLED
SET7033,TXN9033,2026-08-15,12499.0,249.98,45.0,12204.02,SETTLED
SET7034,TXN9034,2026-08-16,19999.0,0.0,0.0,19999.0,SETTLED
SET7035,TXN9035,2026-08-17,29999.0,0.0,0.0,29999.0,SETTLED
SET7036,TXN9036,2026-08-18,499.0,0.0,0.0,499.0,SETTLED
SET7037,TXN9037,2026-08-19,799.0,15.98,2.88,780.14,SETTLED
SET7038,TXN9038,2026-08-20,1299.0,25.98,4.68,1268.34,SETTLED
SET7039,TXN9039,2026-08-21,2499.0,0.0,0.0,2499.0,SETTLED
SET7040,TXN9040,2026-08-02,4999.0,0.0,0.0,4999.0,SETTLED
SET7041,TXN9041,2026-08-03,7999.0,159.98,28.8,7810.22,SETTLED
SET7042,TXN9042,2026-08-04,12499.0,0.0,0.0,12499.0,SETTLED
SET7043,TXN9043,2026-08-05,19999.0,0.0,0.0,19999.0,SETTLED
SET7044,TXN9044,2026-08-06,29999.0,0.0,0.0,29999.0,SETTLED
SET7045,TXN9045,2026-08-07,499.0,0.0,0.0,499.0,SETTLED
SET7046,TXN9046,2026-08-08,799.0,0.0,0.0,799.0,SETTLED
SET7048,TXN9048,2026-08-10,2499.0,0.0,0.0,2499.0,SETTLED
SET7049,TXN9049,2026-08-11,4999.0,99.98,18.0,4881.02,SETTLED
SET7050,TXN9050,2026-08-12,7999.0,0.0,0.0,7999.0,SETTLED
SET7051,TXN9051,2026-08-13,12499.0,0.0,0.0,12499.0,SETTLED
SET7052,TXN9052,2026-08-14,19999.0,0.0,0.0,19999.0,SETTLED
SET7053,TXN9053,2026-08-15,29999.0,0.0,0.0,29999.0,SETTLED
SET7054,TXN9054,2026-08-16,499.0,0.0,0.0,499.0,SETTLED
SET7055,TXN9055,2026-08-17,799.0,0.0,0.0,799.0,SETTLED
SET7057,TXN9057,2026-08-19,2499.0,0.0,0.0,2499.0,SETTLED
SET7058,TXN9058,2026-08-20,4999.0,99.98,18.0,4881.02,SETTLED
SET7059,TXN9059,2026-08-21,7999.0,0.0,0.0,7999.0,SETTLED
SET7060,TXN9060,2026-08-02,12499.0,249.98,45.0,11204.02,SETTLED
SET7061,TXN9061,2026-08-03,19999.0,399.98,72.0,19527.02,SETTLED
SET7062,TXN9062,2026-08-10,29999.0,0.0,0.0,29999.0,SETTLED
SET7063,TXN9063,2026-08-05,499.0,9.98,1.8,487.22,SETTLED
SET7064,TXN9064,2026-08-06,799.0,15.98,2.88,780.14,SETTLED
SET7065,TXN9065,2026-08-07,1299.0,25.98,4.68,1268.34,SETTLED
SET7066,TXN9066,2026-08-08,2499.0,49.98,9.0,2440.02,SETTLED
SET7067,TXN9067,2026-08-09,4999.0,99.98,18.0,4881.02,SETTLED
SET7068,TXN9068,2026-08-10,7999.0,159.98,28.8,7810.22,SETTLED
SET7069,TXN9069,2026-08-11,12499.0,249.98,45.0,12204.02,SETTLED
SET7070,TXN9070,2026-08-18,19999.0,0.0,0.0,19999.0,SETTLED
SET7072,TXN9072,2026-08-14,499.0,9.98,1.8,487.22,SETTLED
SET7073,TXN9073,2026-08-15,799.0,15.98,2.88,780.14,SETTLED
SET7074,TXN9074,2026-08-16,1299.0,25.98,4.68,1268.34,SETTLED
SET7075,TXN9075,2026-08-23,2499.0,0.0,0.0,2499.0,SETTLED
SET7076,TXN9076,2026-08-18,4999.0,99.98,18.0,4881.02,SETTLED
SET7078,TXN9078,2026-08-20,12499.0,0.0,0.0,12499.0,SETTLED
SET7079,TXN9079,2026-08-21,19999.0,0.0,0.0,19999.0,SETTLED
SET7080,TXN9080,2026-08-02,29999.0,599.98,108.0,29291.02,SETTLED
SET7081,TXN9081,2026-08-03,499.0,9.98,1.8,487.22,SETTLED
SET7082,TXN9082,2026-08-04,799.0,15.98,2.88,780.14,SETTLED
SET7083,TXN9083,2026-08-05,1299.0,0.0,0.0,1299.0,SETTLED
SET7084,TXN9084,2026-08-06,2499.0,0.0,0.0,2499.0,SETTLED
SET7085,TXN9085,2026-08-07,4999.0,0.0,0.0,4999.0,SETTLED
SET7086,TXN9086,2026-08-08,7999.0,159.98,28.8,7810.22,SETTLED
SET7087,TXN9087,2026-08-09,12499.0,0.0,0.0,12499.0,SETTLED
SET7088,TXN9088,2026-08-10,19999.0,0.0,0.0,19999.0,SETTLED
SET7089,TXN9089,2026-08-11,29999.0,0.0,0.0,29999.0,SETTLED
SET7090,TXN9090,2026-08-12,499.0,9.98,1.8,487.22,SETTLED
SET7091,TXN9091,2026-08-13,799.0,15.98,2.88,-219.86,SETTLED
SET7092,TXN9092,2026-08-14,1299.0,25.98,4.68,1268.34,SETTLED
SET7093,TXN9093,2026-08-15,2499.0,49.98,9.0,2440.02,SETTLED
SET7095,TXN9095,2026-08-17,7999.0,0.0,0.0,7999.0,SETTLED
SET7096,TXN9096,2026-08-18,12499.0,249.98,45.0,12204.02,SETTLED
SET7097,TXN9097,2026-08-19,19999.0,399.98,72.0,19527.02,SETTLED
SET7098,TXN9098,2026-08-20,29999.0,0.0,0.0,29999.0,SETTLED
SET7099,TXN9099,2026-08-21,499.0,9.98,1.8,-512.78,SETTLED
SET7100,TXN9100,2026-08-02,799.0,15.98,2.88,780.14,SETTLED
SET7101,TXN9101,2026-08-03,1299.0,25.98,4.68,268.34,SETTLED
SET7102,TXN9102,2026-08-04,2499.0,0.0,0.0,2499.0,SETTLED
SET7103,TXN9103,2026-08-05,4999.0,0.0,0.0,4999.0,SETTLED
SET7104,TXN9104,2026-08-06,7999.0,0.0,0.0,7999.0,SETTLED
SET7105,TXN9105,2026-08-07,12499.0,249.98,45.0,12204.02,SETTLED
SET7107,TXN9107,2026-08-09,29999.0,0.0,0.0,29999.0,SETTLED
SET7109,TXN9109,2026-08-11,799.0,0.0,0.0,799.0,SETTLED
SET7110,TXN9110,2026-08-12,1299.0,0.0,0.0,1299.0,SETTLED
SET7111,TXN9111,2026-08-13,2499.0,49.98,9.0,2440.02,SETTLED
SET7112,TXN9112,2026-08-14,4999.0,99.98,18.0,4881.02,SETTLED
SET7113,TXN9113,2026-08-15,7999.0,0.0,0.0,7999.0,SETTLED
SET7114,TXN9114,2026-08-16,12499.0,249.98,45.0,12204.02,SETTLED
SET7115,TXN9115,2026-08-23,19999.0,0.0,0.0,19999.0,SETTLED
SET7116,TXN9116,2026-08-18,29999.0,599.98,108.0,28291.02,SETTLED
