bank_transaction_id,settlement_id,transaction_date,transaction_time,reference,credit_amount,bank_status
BANK250001,SET250001,2026-08-03,10:30:00,TX250001,2499.0,CREDITED
BANK250002,SET250002,2026-08-04,10:30:00,TX250002,12499.0,CREDITED
BANK250003,SET250003,2026-08-05,10:30:00,TX250003,1299.0,CREDITED
BANK250004,SET250004,2026-08-06,10:30:00,TX250004,29999.0,CREDITED
BANK250005,SET250005,2026-08-07,10:30:00,TX250005,499.0,CREDITED
BANK250006,SET250006,2026-08-08,10:30:00,TX250006,499.0,CREDITED
BANK250007,SET250007,2026-08-09,10:30:00,TX250007,799.0,CREDITED
BANK250008,SET250008,2026-08-10,10:30:00,TX250008,4999.0,CREDITED
BANK250009,SET250009,2026-08-11,10:30:00,TX250009,29999.0,CREDITED
BANK250010,SET250010,2026-08-12,10:30:00,TX250010,7999.0,CREDITED
BANK250011,SET250011,2026-08-13,10:30:00,TX250011,4999.0,CREDITED
BANK250012,SET250012,2026-08-14,10:30:00,TX250012,4999.0,CREDITED
BANK250013,SET250013,2026-08-15,10:30:00,TX250013,499.0,CREDITED
BANK250014,SET250014,2026-08-16,10:30:00,TX250014,19999.0,CREDITED
BANK250015,SET250015,2026-08-17,10:30:00,TX250015,4999.0,CREDITED
BANK250016,SET250016,2026-08-18,10:30:00,TX250016,7999.0,CREDITED
BANK250017,SET250017,2026-08-19,10:30:00,TX250017,1299.0,CREDITED
BANK250018,SET250018,2026-08-20,10:30:00,TX250018,19999.0,CREDITED
BANK250019,SET250019,2026-08-21,10:30:00,TX250019,2499.0,CREDITED
BANK250020,SET250020,2026-08-22,10:30:00,TX250020,1299.0,CREDITED
BANK250021,SET250021,2026-08-23,10:30:00,TX250021,1299.0,CREDITED
BANK250022,SET250022,2026-08-24,10:30:00,TX250022,4999.0,CREDITED
BANK250023,SET250023,2026-08-25,10:30:00,TX250023,29999.0,CREDITED
BANK250024,SET250024,2026-08-26,10:30:00,TX250024,4999.0,CREDITED
BANK250025,SET250025,2026-08-02,10:30:00,TX250025,499.0,CREDITED
BANK250026,SET250026,2026-08-03,10:30:00,TX250026,4999.0,CREDITED
BANK250027,SET250027,2026-08-04,10:30:00,TX250027,499.0,CREDITED
BANK250028,SET250028,2026-08-05,10:30:00,TX250028,4999.0,CREDITED
BANK250029,SET250029,2026-08-06,10:30:00,TX250029,799.0,CREDITED
BANK250030,SET250030,2026-08-07,10:30:00,TX250030,7999.0,CREDITED
BANK250031,SET250031,2026-08-08,10:30:00,TX250031,4999.0,CREDITED
BANK250032,SET250032,2026-08-09,10:30:00,TX250032,1299.0,CREDITED
BANK250033,SET250033,2026-08-10,10:30:00,TX250033,799.0,CREDITED
BANK250034,SET250034,2026-08-11,10:30:00,TX250034,2499.0,CREDITED
BANK250035,SET250035,2026-08-12,10:30:00,TX250035,499.0,CREDITED
BANK250036,SET250036,2026-08-13,10:30:00,TX250036,19999.0,CREDITED
BANK250037,SET250037,2026-08-14,10:30:00,TX250037,799.0,CREDITED
BANK250038,SET250038,2026-08-15,10:30:00,TX250038,2499.0,CREDITED
BANK250039,SET250039,2026-08-16,10:30:00,TX250039,4999.0,CREDITED
BANK250040,SET250040,2026-08-17,10:30:00,TX250040,2499.0,CREDITED
BANK250041,SET250041,2026-08-18,10:30:00,TX250041,499.0,CREDITED
BANK250042,SET250042,2026-08-19,10:30:00,TX250042,499.0,CREDITED
BANK250043,SET250043,2026-08-20,10:30:00,TX250043,1299.0,CREDITED
BANK250044,SET250044,2026-08-21,10:30:00,TX250044,7999.0,CREDITED
BANK250045,SET250045,2026-08-22,10:30:00,TX250045,487.22,CREDITED
BANK250046,SET250046,2026-08-23,10:30:00,TX250046,1268.34,CREDITED
BANK250047,SET250047,2026-08-24,10:30:00,TX250047,487.22,CREDITED
BANK250048,SET250048,2026-08-25,10:30:00,TX250048,7810.22,CREDITED
BANK250049,SET250049,2026-08-26,10:30:00,TX250049,29291.02,CREDITED
BANK250050,SET250050,2026-08-02,10:30:00,TX250050,1268.34,CREDITED
BANK250051,SET250051,2026-08-03,10:30:00,TX250051,1268.34,CREDITED
BANK250052,SET250052,2026-08-04,10:30:00,TX250052,7810.22,CREDITED
BANK250053,SET250053,2026-08-05,10:30:00,TX250053,29291.02,CREDITED
BANK250054,SET250054,2026-08-06,10:30:00,TX250054,12204.02,CREDITED
BANK250055,SET250055,2026-08-07,10:30:00,TX250055,29291.02,CREDITED
BANK250056,SET250056,2026-08-08,10:30:00,TX250056,19527.02,CREDITED
BANK250057,SET250057,2026-08-09,10:30:00,TX250057,487.22,CREDITED
BANK250058,SET250058,2026-08-10,10:30:00,TX250058,1268.34,CREDITED
BANK250059,SET250059,2026-08-11,10:30:00,TX250059,12204.02,CREDITED
BANK250060,SET250060,2026-08-12,10:30:00,TX250060,1268.34,CREDITED
BANK250061,SET250061,2026-08-13,10:30:00,TX250061,1268.34,CREDITED
BANK250062,SET250062,2026-08-14,10:30:00,TX250062,1268.34,CREDITED
