transaction_id,ground_truth_status,ground_truth_reason,expected_exception_category
TX250001,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250002,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250003,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250004,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250005,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250006,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250007,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250008,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250009,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250010,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250011,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250012,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250013,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250014,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250015,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250016,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250017,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250018,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250019,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250020,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250021,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250022,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250023,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250024,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250025,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250026,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250027,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250028,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250029,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250030,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250031,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250032,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250033,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250034,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250035,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250036,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250037,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250038,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250039,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250040,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250041,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250042,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250043,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250044,MATCHED,Exact match or verified fee/refund adjustments,EXACT_MATCH
TX250045,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TX250046,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TX250047,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TX250048,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TX250049,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TX250050,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TX250051,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TX250052,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TX250053,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TX250054,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TX250055,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TX250056,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TX250057,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TX250058,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TX250059,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TX250060,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TX250061,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TX250062,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TX250063,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TX250064,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TX250065,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TX250066,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TX250067,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TX250068,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TX250069,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
TX250070,MATCHED,Exact match or verified fee/refund adjustments,FEE_ADJUSTED
