order_id,customer_id,order_date,order_amount,currency,payment_id,order_status
ORD250001,CUST250001,2026-08-02,2499.0,INR,PAY250001,COMPLETED
ORD250002,CUST250002,2026-08-03,12499.0,INR,PAY250002,COMPLETED
ORD250003,CUST250003,2026-08-04,1299.0,INR,PAY250003,COMPLETED
ORD250004,CUST250004,2026-08-05,29999.0,INR,PAY250004,COMPLETED
ORD250005,CUST250005,2026-08-06,499.0,INR,PAY250005,COMPLETED
ORD250006,CUST250006,2026-08-07,499.0,INR,PAY250006,COMPLETED
ORD250007,CUST250007,2026-08-08,799.0,INR,PAY250007,COMPLETED
ORD250008,CUST250008,2026-08-09,4999.0,INR,PAY250008,COMPLETED
ORD250009,CUST250009,2026-08-10,29999.0,INR,PAY250009,COMPLETED
ORD250010,CUST250010,2026-08-11,7999.0,INR,PAY250010,COMPLETED
ORD250011,CUST250011,2026-08-12,4999.0,INR,PAY250011,COMPLETED
ORD250012,CUST250012,2026-08-13,4999.0,INR,PAY250012,COMPLETED
ORD250013,CUST250013,2026-08-14,499.0,INR,PAY250013,COMPLETED
ORD250014,CUST250014,2026-08-15,19999.0,INR,PAY250014,COMPLETED
ORD250015,CUST250015,2026-08-16,4999.0,INR,PAY250015,COMPLETED
ORD250016,CUST250016,2026-08-17,7999.0,INR,PAY250016,COMPLETED
ORD250017,CUST250017,2026-08-18,1299.0,INR,PAY250017,COMPLETED
ORD250018,CUST250018,2026-08-19,19999.0,INR,PAY250018,COMPLETED
ORD250019,CUST250019,2026-08-20,2499.0,INR,PAY250019,COMPLETED
ORD250020,CUST250020,2026-08-21,1299.0,INR,PAY250020,COMPLETED
ORD250021,CUST250021,2026-08-22,1299.0,INR,PAY250021,COMPLETED
ORD250022,CUST250022,2026-08-23,4999.0,INR,PAY250022,COMPLETED
ORD250023,CUST250023,2026-08-24,29999.0,INR,PAY250023,COMPLETED
ORD250024,CUST250024,2026-08-25,4999.0,INR,PAY250024,COMPLETED
ORD250025,CUST250025,2026-08-01,499.0,INR,PAY250025,COMPLETED
ORD250026,CUST250026,2026-08-02,4999.0,INR,PAY250026,COMPLETED
ORD250027,CUST250027,2026-08-03,499.0,INR,PAY250027,COMPLETED
ORD250028,CUST250028,2026-08-04,4999.0,INR,PAY250028,COMPLETED
ORD250029,CUST250029,2026-08-05,799.0,INR,PAY250029,COMPLETED
ORD250030,CUST250030,2026-08-06,7999.0,INR,PAY250030,COMPLETED
ORD250031,CUST250031,2026-08-07,4999.0,INR,PAY250031,COMPLETED
ORD250032,CUST250032,2026-08-08,1299.0,INR,PAY250032,COMPLETED
ORD250033,CUST250033,2026-08-09,799.0,INR,PAY250033,COMPLETED
ORD250034,CUST250034,2026-08-10,2499.0,INR,PAY250034,COMPLETED
ORD250035,CUST250035,2026-08-11,499.0,INR,PAY250035,COMPLETED
ORD250036,CUST250036,2026-08-12,19999.0,INR,PAY250036,COMPLETED
ORD250037,CUST250037,2026-08-13,799.0,INR,PAY250037,COMPLETED
ORD250038,CUST250038,2026-08-14,2499.0,INR,PAY250038,COMPLETED
ORD250039,CUST250039,2026-08-15,4999.0,INR,PAY250039,COMPLETED
ORD250040,CUST250040,2026-08-16,2499.0,INR,PAY250040,COMPLETED
ORD250041,CUST250041,2026-08-17,499.0,INR,PAY250041,COMPLETED
ORD250042,CUST250042,2026-08-18,499.0,INR,PAY250042,COMPLETED
ORD250043,CUST250043,2026-08-19,1299.0,INR,PAY250043,COMPLETED
ORD250044,CUST250044,2026-08-20,7999.0,INR,PAY250044,COMPLETED
ORD250045,CUST250045,2026-08-21,499.0,INR,PAY250045,COMPLETED
ORD250046,CUST250046,2026-08-22,1299.0,INR,PAY250046,COMPLETED
ORD250047,CUST250047,2026-08-23,499.0,INR,PAY250047,COMPLETED
ORD250048,CUST250048,2026-08-24,7999.0,INR,PAY250048,COMPLETED
ORD250049,CUST250049,2026-08-25,29999.0,INR,PAY250049,COMPLETED
ORD250050,CUST250050,2026-08-01,1299.0,INR,PAY250050,COMPLETED
ORD250051,CUST250051,2026-08-02,1299.0,INR,PAY250051,COMPLETED
ORD250052,CUST250052,2026-08-03,7999.0,INR,PAY250052,COMPLETED
ORD250053,CUST250053,2026-08-04,29999.0,INR,PAY250053,COMPLETED
ORD250054,CUST250054,2026-08-05,12499.0,INR,PAY250054,COMPLETED
ORD250055,CUST250055,2026-08-06,29999.0,INR,PAY250055,COMPLETED
ORD250056,CUST250056,2026-08-07,19999.0,INR,PAY250056,COMPLETED
ORD250057,CUST250057,2026-08-08,499.0,INR,PAY250057,COMPLETED
ORD250058,CUST250058,2026-08-09,1299.0,INR,PAY250058,COMPLETED
ORD250059,CUST250059,2026-08-10,12499.0,INR,PAY250059,COMPLETED
ORD250060,CUST250060,2026-08-11,1299.0,INR,PAY250060,COMPLETED
ORD250061,CUST250061,2026-08-12,1299.0,INR,PAY250061,COMPLETED
ORD250062,CUST250062,2026-08-13,1299.0,INR,PAY250062,COMPLETED
ORD250063,CUST250063,2026-08-14,499.0,INR,PAY250063,COMPLETED
ORD250064,CUST250064,2026-08-15,499.0,INR,PAY250064,COMPLETED
ORD250065,CUST250065,2026-08-16,7999.0,INR,PAY250065,COMPLETED
ORD250066,CUST250066,2026-08-17,19999.0,INR,PAY250066,COMPLETED
ORD250067,CUST250067,2026-08-18,29999.0,INR,PAY250067,COMPLETED
ORD250068,CUST250068,2026-08-19,799.0,INR,PAY250068,COMPLETED
ORD250069,CUST250069,2026-08-20,29999.0,INR,PAY250069,COMPLETED
ORD250070,CUST250070,2026-08-21,19999.0,INR,PAY250070,COMPLETED
ORD250071,CUST250071,2026-08-22,29999.0,INR,PAY250071,COMPLETED
ORD250072,CUST250072,2026-08-23,499.0,INR,PAY250072,COMPLETED
ORD250073,CUST250073,2026-08-24,12499.0,INR,PAY250073,COMPLETED
ORD250074,CUST250074,2026-08-25,799.0,INR,PAY250074,COMPLETED
ORD250075,CUST250075,2026-08-01,29999.0,INR,PAY250075,COMPLETED
ORD250076,CUST250076,2026-08-02,1299.0,INR,PAY250076,COMPLETED
ORD250077,CUST250077,2026-08-03,4999.0,INR,PAY250077,COMPLETED
ORD250078,CUST250078,2026-08-04,2499.0,INR,PAY250078,COMPLETED
ORD250079,CUST250079,2026-08-05,499.0,INR,PAY250079,COMPLETED
ORD250080,CUST250080,2026-08-06,7999.0,INR,PAY250080,COMPLETED
ORD250081,CUST250081,2026-08-07,7999.0,INR,PAY250081,COMPLETED
ORD250082,CUST250082,2026-08-08,1299.0,INR,PAY250082,COMPLETED
ORD250083,CUST250083,2026-08-09,19999.0,INR,PAY250083,COMPLETED
ORD250084,CUST250084,2026-08-10,799.0,INR,PAY250084,COMPLETED
ORD250085,CUST250085,2026-08-11,4999.0,INR,PAY250085,COMPLETED
ORD250086,CUST250086,2026-08-12,799.0,INR,PAY250086,COMPLETED
ORD250087,CUST250087,2026-08-13,12499.0,INR,PAY250087,COMPLETED
ORD250088,CUST250088,2026-08-14,19999.0,INR,PAY250088,COMPLETED
ORD250089,CUST250089,2026-08-15,1299.0,INR,PAY250089,COMPLETED
ORD250090,CUST250090,2026-08-16,29999.0,INR,PAY250090,COMPLETED
ORD250091,CUST250091,2026-08-17,499.0,INR,PAY250091,COMPLETED
ORD250092,CUST250092,2026-08-18,499.0,INR,PAY250092,COMPLETED
ORD250093,CUST250093,2026-08-19,12499.0,INR,PAY250093,COMPLETED
ORD250094,CUST250094,2026-08-20,799.0,INR,PAY250094,COMPLETED
ORD250095,CUST250095,2026-08-21,1299.0,INR,PAY250095,COMPLETED
ORD250096,CUST250096,2026-08-22,499.0,INR,PAY250096,COMPLETED
ORD250097,CUST250097,2026-08-23,799.0,INR,PAY250097,COMPLETED
ORD250098,CUST250098,2026-08-24,499.0,INR,PAY250098,COMPLETED
ORD250099,CUST250099,2026-08-25,29999.0,INR,PAY250099,COMPLETED
ORD250100,CUST250100,2026-08-01,7999.0,INR,PAY250100,COMPLETED
ORD250101,CUST250101,2026-08-02,499.0,INR,PAY250101,COMPLETED
ORD250102,CUST250102,2026-08-03,799.0,INR,PAY250102,COMPLETED
ORD250103,CUST250103,2026-08-04,799.0,INR,PAY250103,COMPLETED
ORD250104,CUST250104,2026-08-05,12499.0,INR,PAY250104,COMPLETED
ORD250105,CUST250105,2026-08-06,499.0,INR,PAY250105,COMPLETED
ORD250106,CUST250106,2026-08-07,7999.0,INR,PAY250106,COMPLETED
ORD250107,CUST250107,2026-08-08,2499.0,INR,PAY250107,COMPLETED
ORD250108,CUST250108,2026-08-09,29999.0,INR,PAY250108,COMPLETED
ORD250109,CUST250109,2026-08-10,499.0,INR,PAY250109,COMPLETED
ORD250110,CUST250110,2026-08-11,19999.0,INR,PAY250110,COMPLETED
ORD250111,CUST250111,2026-08-12,1299.0,INR,PAY250111,COMPLETED
ORD250112,CUST250112,2026-08-13,19999.0,INR,PAY250112,COMPLETED
ORD250113,CUST250113,2026-08-14,19999.0,INR,PAY250113,COMPLETED
ORD250114,CUST250114,2026-08-15,19999.0,INR,PAY250114,COMPLETED
ORD250115,CUST250115,2026-08-16,799.0,INR,PAY250115,COMPLETED
ORD250116,CUST250116,2026-08-17,2499.0,INR,PAY250116,COMPLETED
ORD250117,CUST250117,2026-08-18,1299.0,INR,PAY250117,COMPLETED
ORD250118,CUST250118,2026-08-19,1299.0,INR,PAY250118,COMPLETED
ORD250119,CUST250119,2026-08-20,29999.0,INR,PAY250119,COMPLETED
ORD250120,CUST250120,2026-08-21,2499.0,INR,PAY250120,COMPLETED
ORD250121,CUST250121,2026-08-22,4999.0,INR,PAY250121,COMPLETED
ORD250122,CUST250122,2026-08-23,799.0,INR,PAY250122,COMPLETED
ORD250123,CUST250123,2026-08-24,12499.0,INR,PAY250123,COMPLETED
ORD250124,CUST250124,2026-08-25,799.0,INR,PAY250124,COMPLETED
ORD250125,CUST250125,2026-08-01,499.0,INR,PAY250125,COMPLETED
ORD250126,CUST250126,2026-08-02,499.0,INR,PAY250126,COMPLETED
ORD250127,CUST250127,2026-08-03,799.0,INR,PAY250127,COMPLETED
ORD250128,CUST250128,2026-08-04,499.0,INR,PAY250128,COMPLETED
ORD250129,CUST250129,2026-08-05,7999.0,INR,PAY250129,COMPLETED
ORD250130,CUST250130,2026-08-06,799.0,INR,PAY250130,COMPLETED
ORD250131,CUST250131,2026-08-07,29999.0,INR,PAY250131,COMPLETED
ORD250132,CUST250132,2026-08-08,1299.0,INR,PAY250132,COMPLETED
ORD250133,CUST250133,2026-08-09,29999.0,INR,PAY250133,COMPLETED
ORD250134,CUST250134,2026-08-10,499.0,INR,PAY250134,COMPLETED
ORD250135,CUST250135,2026-08-11,19999.0,INR,PAY250135,COMPLETED
ORD250136,CUST250136,2026-08-12,19999.0,INR,PAY250136,COMPLETED
ORD250137,CUST250137,2026-08-13,499.0,INR,PAY250137,COMPLETED
ORD250138,CUST250138,2026-08-14,29999.0,INR,PAY250138,COMPLETED
ORD250139,CUST250139,2026-08-15,7999.0,INR,PAY250139,COMPLETED
ORD250140,CUST250140,2026-08-16,12499.0,INR,PAY250140,COMPLETED
ORD250141,CUST250141,2026-08-17,1299.0,INR,PAY250141,COMPLETED
ORD250142,CUST250142,2026-08-18,12499.0,INR,PAY250142,COMPLETED
ORD250143,CUST250143,2026-08-19,12499.0,INR,PAY250143,COMPLETED
ORD250144,CUST250144,2026-08-20,799.0,INR,PAY250144,COMPLETED
ORD250145,CUST250145,2026-08-21,29999.0,INR,PAY250145,COMPLETED
ORD250146,CUST250146,2026-08-22,12499.0,INR,PAY250146,COMPLETED
ORD250147,CUST250147,2026-08-23,499.0,INR,PAY250147,COMPLETED
ORD250148,CUST250148,2026-08-24,19999.0,INR,PAY250148,COMPLETED
ORD250149,CUST250149,2026-08-25,2499.0,INR,PAY250149,COMPLETED
ORD250150,CUST250150,2026-08-01,19999.0,INR,PAY250150,COMPLETED
ORD250151,CUST250151,2026-08-02,799.0,INR,PAY250151,COMPLETED
ORD250152,CUST250152,2026-08-03,1299.0,INR,PAY250152,COMPLETED
ORD250153,CUST250153,2026-08-04,799.0,INR,PAY250153,COMPLETED
ORD250154,CUST250154,2026-08-05,1299.0,INR,PAY250154,COMPLETED
ORD250155,CUST250155,2026-08-06,4999.0,INR,PAY250155,COMPLETED
ORD250156,CUST250156,2026-08-07,799.0,INR,PAY250156,COMPLETED
ORD250157,CUST250157,2026-08-08,4999.0,INR,PAY250157,COMPLETED
ORD250158,CUST250158,2026-08-09,4999.0,INR,PAY250158,COMPLETED
ORD250159,CUST250159,2026-08-10,799.0,INR,PAY250159,COMPLETED
ORD250160,CUST250160,2026-08-11,19999.0,INR,PAY250160,COMPLETED
ORD250161,CUST250161,2026-08-12,2499.0,INR,PAY250161,COMPLETED
ORD250162,CUST250162,2026-08-13,7999.0,INR,PAY250162,COMPLETED
ORD250163,CUST250163,2026-08-14,19999.0,INR,PAY250163,COMPLETED
ORD250164,CUST250164,2026-08-15,2499.0,INR,PAY250164,COMPLETED
ORD250165,CUST250165,2026-08-16,12499.0,INR,PAY250165,COMPLETED
ORD250166,CUST250166,2026-08-17,7999.0,INR,PAY250166,COMPLETED
ORD250167,CUST250167,2026-08-18,12499.0,INR,PAY250167,COMPLETED
ORD250168,CUST250168,2026-08-19,29999.0,INR,PAY250168,COMPLETED
ORD250169,CUST250169,2026-08-20,19999.0,INR,PAY250169,COMPLETED
ORD250170,CUST250170,2026-08-21,499.0,INR,PAY250170,COMPLETED
ORD250171,CUST250171,2026-08-22,4999.0,INR,PAY250171,COMPLETED
ORD250172,CUST250172,2026-08-23,1299.0,INR,PAY250172,COMPLETED
ORD250173,CUST250173,2026-08-24,12499.0,INR,PAY250173,COMPLETED
ORD250174,CUST250174,2026-08-25,499.0,INR,PAY250174,COMPLETED
ORD250175,CUST250175,2026-08-01,499.0,INR,PAY250175,COMPLETED
ORD250176,CUST250176,2026-08-02,7999.0,INR,PAY250176,COMPLETED
ORD250177,CUST250177,2026-08-03,29999.0,INR,PAY250177,COMPLETED
ORD250178,CUST250178,2026-08-04,19999.0,INR,PAY250178,COMPLETED
ORD250179,CUST250179,2026-08-05,12499.0,INR,PAY250179,COMPLETED
ORD250180,CUST250180,2026-08-06,1299.0,INR,PAY250180,COMPLETED
ORD250181,CUST250181,2026-08-07,19999.0,INR,PAY250181,COMPLETED
ORD250182,CUST250182,2026-08-08,19999.0,INR,PAY250182,COMPLETED
ORD250183,CUST250183,2026-08-09,7999.0,INR,PAY250183,COMPLETED
ORD250184,CUST250184,2026-08-10,799.0,INR,PAY250184,COMPLETED
ORD250185,CUST250185,2026-08-11,1299.0,INR,PAY250185,COMPLETED
ORD250186,CUST250186,2026-08-12,4999.0,INR,PAY250186,COMPLETED
ORD250187,CUST250187,2026-08-13,12499.0,INR,PAY250187,COMPLETED
ORD250188,CUST250188,2026-08-14,7999.0,INR,PAY250188,COMPLETED
ORD250189,CUST250189,2026-08-15,1299.0,INR,PAY250189,COMPLETED
ORD250190,CUST250190,2026-08-16,12499.0,INR,PAY250190,COMPLETED
ORD250191,CUST250191,2026-08-17,2499.0,INR,PAY250191,COMPLETED
ORD250192,CUST250192,2026-08-18,12499.0,INR,PAY250192,COMPLETED
ORD250193,CUST250193,2026-08-19,2499.0,INR,PAY250193,COMPLETED
ORD250194,CUST250194,2026-08-20,2499.0,INR,PAY250194,COMPLETED
ORD250195,CUST250195,2026-08-21,4999.0,INR,PAY250195,COMPLETED
ORD250196,CUST250196,2026-08-22,7999.0,INR,PAY250196,COMPLETED
ORD250197,CUST250197,2026-08-23,2499.0,INR,PAY250197,COMPLETED
ORD250198,CUST250198,2026-08-24,2499.0,INR,PAY250198,COMPLETED
ORD250199,CUST250199,2026-08-25,1299.0,INR,PAY250199,COMPLETED
ORD250200,CUST250200,2026-08-01,12499.0,INR,PAY250200,COMPLETED
ORD250201,CUST250201,2026-08-02,19999.0,INR,PAY250201,COMPLETED
ORD250202,CUST250202,2026-08-03,1299.0,INR,PAY250202,COMPLETED
ORD250203,CUST250203,2026-08-04,799.0,INR,PAY250203,COMPLETED
ORD250204,CUST250204,2026-08-05,799.0,INR,PAY250204,UNKNOWN
ORD250205,CUST250205,2026-08-06,499.0,INR,PAY250205,UNKNOWN
ORD250206,CUST250206,2026-08-07,12499.0,INR,PAY250206,UNKNOWN
ORD250207,CUST250207,2026-08-08,2499.0,INR,PAY250207,UNKNOWN
ORD250208,CUST250208,2026-08-09,1299.0,INR,PAY250208,UNKNOWN
ORD250209,CUST250209,2026-08-10,799.0,INR,PAY250209,UNKNOWN
ORD250210,CUST250210,2026-08-11,29999.0,INR,PAY250210,UNKNOWN
ORD250211,CUST250211,2026-08-12,7999.0,INR,PAY250211,UNKNOWN
ORD250212,CUST250212,2026-08-13,499.0,INR,PAY250212,UNKNOWN
ORD250213,CUST250213,2026-08-14,4999.0,INR,PAY250213,UNKNOWN
ORD250214,CUST250214,2026-08-15,799.0,INR,PAY250214,UNKNOWN
ORD250215,CUST250215,2026-08-16,19999.0,INR,PAY250215,UNKNOWN
ORD250216,CUST250216,2026-08-17,29999.0,INR,PAY250216,UNKNOWN
ORD250217,CUST250217,2026-08-18,799.0,INR,PAY250217,UNKNOWN
ORD250218,CUST250218,2026-08-19,7999.0,INR,PAY250218,UNKNOWN
ORD250219,CUST250219,2026-08-20,799.0,INR,PAY250219,UNKNOWN
ORD250220,CUST250220,2026-08-21,499.0,INR,PAY250220,UNKNOWN
ORD250221,CUST250221,2026-08-22,7999.0,INR,PAY250221,UNKNOWN
ORD250222,CUST250222,2026-08-23,7999.0,INR,PAY250222,UNKNOWN
ORD250223,CUST250223,2026-08-24,1299.0,INR,PAY250223,UNKNOWN
ORD250224,CUST250224,2026-08-25,499.0,INR,PAY250224,UNKNOWN
ORD250225,CUST250225,2026-08-01,499.0,INR,PAY250225,UNKNOWN
ORD250226,CUST250226,2026-08-02,499.0,INR,PAY250226,UNKNOWN
ORD250227,CUST250227,2026-08-03,799.0,INR,PAY250227,COMPLETED
ORD250228,CUST250228,2026-08-04,12499.0,INR,PAY250228,COMPLETED
ORD250229,CUST250229,2026-08-05,4999.0,INR,PAY250229,COMPLETED
ORD250230,CUST250230,2026-08-06,7999.0,INR,PAY250230,COMPLETED
ORD250231,CUST250231,2026-08-07,2499.0,INR,PAY250231,COMPLETED
ORD250232,CUST250232,2026-08-08,499.0,INR,PAY250232,COMPLETED
ORD250233,CUST250233,2026-08-09,2499.0,INR,PAY250233,COMPLETED
ORD250234,CUST250234,2026-08-10,4999.0,INR,PAY250234,COMPLETED
ORD250235,CUST250235,2026-08-11,7999.0,INR,PAY250235,COMPLETED
ORD250236,CUST250236,2026-08-12,499.0,INR,PAY250236,COMPLETED
ORD250237,CUST250237,2026-08-13,499.0,INR,PAY250237,COMPLETED
ORD250238,CUST250238,2026-08-14,7999.0,INR,PAY250238,COMPLETED
ORD250239,CUST250239,2026-08-15,1299.0,INR,PAY250239,COMPLETED
ORD250240,CUST250240,2026-08-16,1299.0,INR,PAY250240,COMPLETED
ORD250241,CUST250241,2026-08-17,1299.0,INR,PAY250241,COMPLETED
ORD250242,CUST250242,2026-08-18,499.0,INR,PAY250242,COMPLETED
ORD250243,CUST250243,2026-08-19,499.0,INR,PAY250243,COMPLETED
ORD250244,CUST250244,2026-08-20,499.0,INR,PAY250244,COMPLETED
ORD250245,CUST250245,2026-08-21,2499.0,INR,PAY250245,COMPLETED
ORD250246,CUST250246,2026-08-22,2499.0,INR,PAY250246,COMPLETED
ORD250247,CUST250247,2026-08-23,7999.0,INR,PAY250247,COMPLETED
ORD250248,CUST250248,2026-08-24,12499.0,INR,PAY250248,COMPLETED
ORD250249,CUST250249,2026-08-25,12499.0,INR,PAY250249,COMPLETED
ORD250250,CUST250250,2026-08-01,2499.0,INR,PAY250250,COMPLETED
