payment_id,order_id,transaction_id,payment_date,payment_time,amount,payment_status,payment_method
PAY250001,ORD250001,TX250001,2026-08-02,10:15:00,2499.0,CAPTURED,NETBANKING
PAY250002,ORD250002,TX250002,2026-08-03,10:15:00,12499.0,CAPTURED,UPI
PAY250003,ORD250003,TX250003,2026-08-04,10:15:00,1299.0,CAPTURED,CARD
PAY250004,ORD250004,TX250004,2026-08-05,10:15:00,29999.0,CAPTURED,UPI
PAY250005,ORD250005,TX250005,2026-08-06,10:15:00,499.0,CAPTURED,UPI
PAY250006,ORD250006,TX250006,2026-08-07,10:15:00,499.0,CAPTURED,WALLET
PAY250007,ORD250007,TX250007,2026-08-08,10:15:00,799.0,CAPTURED,CARD
PAY250008,ORD250008,TX250008,2026-08-09,10:15:00,4999.0,CAPTURED,CARD
PAY250009,ORD250009,TX250009,2026-08-10,10:15:00,29999.0,CAPTURED,NETBANKING
PAY250010,ORD250010,TX250010,2026-08-11,10:15:00,7999.0,CAPTURED,WALLET
PAY250011,ORD250011,TX250011,2026-08-12,10:15:00,4999.0,CAPTURED,WALLET
PAY250012,ORD250012,TX250012,2026-08-13,10:15:00,4999.0,CAPTURED,NETBANKING
PAY250013,ORD250013,TX250013,2026-08-14,10:15:00,499.0,CAPTURED,CARD
PAY250014,ORD250014,TX250014,2026-08-15,10:15:00,19999.0,CAPTURED,CARD
PAY250015,ORD250015,TX250015,2026-08-16,10:15:00,4999.0,CAPTURED,WALLET
PAY250016,ORD250016,TX250016,2026-08-17,10:15:00,7999.0,CAPTURED,NETBANKING
PAY250017,ORD250017,TX250017,2026-08-18,10:15:00,1299.0,CAPTURED,CARD
PAY250018,ORD250018,TX250018,2026-08-19,10:15:00,19999.0,CAPTURED,CARD
PAY250019,ORD250019,TX250019,2026-08-20,10:15:00,2499.0,CAPTURED,NETBANKING
PAY250020,ORD250020,TX250020,2026-08-21,10:15:00,1299.0,CAPTURED,NETBANKING
PAY250021,ORD250021,TX250021,2026-08-22,10:15:00,1299.0,CAPTURED,UPI
PAY250022,ORD250022,TX250022,2026-08-23,10:15:00,4999.0,CAPTURED,NETBANKING
PAY250023,ORD250023,TX250023,2026-08-24,10:15:00,29999.0,CAPTURED,WALLET
PAY250024,ORD250024,TX250024,2026-08-25,10:15:00,4999.0,CAPTURED,CARD
PAY250025,ORD250025,TX250025,2026-08-01,10:15:00,499.0,CAPTURED,WALLET
PAY250026,ORD250026,TX250026,2026-08-02,10:15:00,4999.0,CAPTURED,CARD
PAY250027,ORD250027,TX250027,2026-08-03,10:15:00,499.0,CAPTURED,UPI
PAY250028,ORD250028,TX250028,2026-08-04,10:15:00,4999.0,CAPTURED,CARD
PAY250029,ORD250029,TX250029,2026-08-05,10:15:00,799.0,CAPTURED,CARD
PAY250030,ORD250030,TX250030,2026-08-06,10:15:00,7999.0,CAPTURED,CARD
PAY250031,ORD250031,TX250031,2026-08-07,10:15:00,4999.0,CAPTURED,CARD
PAY250032,ORD250032,TX250032,2026-08-08,10:15:00,1299.0,CAPTURED,WALLET
PAY250033,ORD250033,TX250033,2026-08-09,10:15:00,799.0,CAPTURED,WALLET
PAY250034,ORD250034,TX250034,2026-08-10,10:15:00,2499.0,CAPTURED,CARD
PAY250035,ORD250035,TX250035,2026-08-11,10:15:00,499.0,CAPTURED,WALLET
PAY250036,ORD250036,TX250036,2026-08-12,10:15:00,19999.0,CAPTURED,CARD
PAY250037,ORD250037,TX250037,2026-08-13,10:15:00,799.0,CAPTURED,UPI
