refund_id,transaction_id,refund_date,refund_amount,refund_status,refund_reason
REF250001,TX250073,2026-08-25,6249.5,PROCESSED,Customer return
REF250002,TX250074,2026-08-26,399.5,PROCESSED,Customer return
REF250003,TX250075,2026-08-02,14999.5,PROCESSED,Customer return
REF250004,TX250076,2026-08-03,649.5,PROCESSED,Customer return
REF250005,TX250077,2026-08-04,2499.5,PROCESSED,Customer return
REF250006,TX250078,2026-08-05,1249.5,PROCESSED,Customer return
REF250007,TX250079,2026-08-06,249.5,PROCESSED,Customer return
REF250008,TX250080,2026-08-07,3999.5,PROCESSED,Customer return
REF250009,TX250081,2026-08-08,3999.5,PROCESSED,Customer return
REF250010,TX250082,2026-08-09,649.5,PROCESSED,Customer return
REF250011,TX250083,2026-08-10,9999.5,PROCESSED,Customer return
REF250012,TX250084,2026-08-11,399.5,PROCESSED,Customer return
REF250013,TX250085,2026-08-12,2499.5,PROCESSED,Customer return
REF250014,TX250086,2026-08-13,399.5,PROCESSED,Customer return
REF250015,TX250087,2026-08-14,6249.5,PROCESSED,Customer return
REF250016,TX250088,2026-08-15,9999.5,PROCESSED,Customer return
REF250017,TX250089,2026-08-16,649.5,PROCESSED,Customer return
REF250018,TX250090,2026-08-17,14999.5,PROCESSED,Customer return
REF250019,TX250091,2026-08-18,249.5,PROCESSED,Customer return
REF250020,TX250092,2026-08-19,249.5,PROCESSED,Customer return
REF250021,TX250093,2026-08-20,6249.5,PROCESSED,Customer return
REF250022,TX250094,2026-08-21,399.5,PROCESSED,Customer return
REF250023,TX250095,2026-08-22,649.5,PROCESSED,Customer return
REF250024,TX250096,2026-08-23,249.5,PROCESSED,Customer return
REF250025,TX250097,2026-08-24,399.5,PROCESSED,Customer return
REF250026,TX250098,2026-08-25,249.5,PROCESSED,Customer return
REF250027,TX250099,2026-08-26,14999.5,PROCESSED,Customer return
REF250028,TX250100,2026-08-02,3999.5,PROCESSED,Customer return
REF250029,TX250101,2026-08-03,249.5,PROCESSED,Customer return
REF250030,TX250102,2026-08-04,399.5,PROCESSED,Customer return
