settlement_id,transaction_id,settlement_date,gross_amount,fee,tax,net_amount,settlement_status
SET250001,TX250001,2026-08-03,2499.0,0.0,0.0,2499.0,SETTLED
SET250002,TX250002,2026-08-04,12499.0,0.0,0.0,12499.0,SETTLED
SET250003,TX250003,2026-08-05,1299.0,0.0,0.0,1299.0,SETTLED
SET250004,TX250004,2026-08-06,29999.0,0.0,0.0,29999.0,SETTLED
SET250005,TX250005,2026-08-07,499.0,0.0,0.0,499.0,SETTLED
SET250006,TX250006,2026-08-08,499.0,0.0,0.0,499.0,SETTLED
SET250007,TX250007,2026-08-09,799.0,0.0,0.0,799.0,SETTLED
SET250008,TX250008,2026-08-10,4999.0,0.0,0.0,4999.0,SETTLED
SET250009,TX250009,2026-08-11,29999.0,0.0,0.0,29999.0,SETTLED
SET250010,TX250010,2026-08-12,7999.0,0.0,0.0,7999.0,SETTLED
SET250011,TX250011,2026-08-13,4999.0,0.0,0.0,4999.0,SETTLED
SET250012,TX250012,2026-08-14,4999.0,0.0,0.0,4999.0,SETTLED
SET250013,TX250013,2026-08-15,499.0,0.0,0.0,499.0,SETTLED
SET250014,TX250014,2026-08-16,19999.0,0.0,0.0,19999.0,SETTLED
SET250015,TX250015,2026-08-17,4999.0,0.0,0.0,4999.0,SETTLED
SET250016,TX250016,2026-08-18,7999.0,0.0,0.0,7999.0,SETTLED
SET250017,TX250017,2026-08-19,1299.0,0.0,0.0,1299.0,SETTLED
SET250018,TX250018,2026-08-20,19999.0,0.0,0.0,19999.0,SETTLED
SET250019,TX250019,2026-08-21,2499.0,0.0,0.0,2499.0,SETTLED
SET250020,TX250020,2026-08-22,1299.0,0.0,0.0,1299.0,SETTLED
SET250021,TX250021,2026-08-23,1299.0,0.0,0.0,1299.0,SETTLED
SET250022,TX250022,2026-08-24,4999.0,0.0,0.0,4999.0,SETTLED
SET250023,TX250023,2026-08-25,29999.0,0.0,0.0,29999.0,SETTLED
SET250024,TX250024,2026-08-26,4999.0,0.0,0.0,4999.0,SETTLED
SET250025,TX250025,2026-08-02,499.0,0.0,0.0,499.0,SETTLED
SET250026,TX250026,2026-08-03,4999.0,0.0,0.0,4999.0,SETTLED
SET250027,TX250027,2026-08-04,499.0,0.0,0.0,499.0,SETTLED
SET250028,TX250028,2026-08-05,4999.0,0.0,0.0,4999.0,SETTLED
SET250029,TX250029,2026-08-06,799.0,0.0,0.0,799.0,SETTLED
SET250030,TX250030,2026-08-07,7999.0,0.0,0.0,7999.0,SETTLED
SET250031,TX250031,2026-08-08,4999.0,0.0,0.0,4999.0,SETTLED
SET250032,TX250032,2026-08-09,1299.0,0.0,0.0,1299.0,SETTLED
